Reference Type,Author,Year,Chapter Title,Book Editor,Book Title,Place Published,Publisher,Volume,Number of Volumes,Page Range,Chapter Number,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,
Book Chapter,"Aranha, Paolo",2008,Roberto Nobili e il dialogo interreligioso?,"Sanfilippo, Matteo|Prezzolini, Carlo","Roberto De Nobili (1577–1656) missionario gesuita poliziano: Atti del convegno, Montepulciano, 20 ottobre 2007",Perugia,Guerra,,,137–150,,,,9788855701785|8855701789,,,http://worldcat.org/oclc/316828407,,,17th century,Foreign Missions -- Interreligious Dialogue|Foreign Missions -- Evangelization -- Strategies|Foreign Missions -- Biography,Asia -- India,"Nobili, Roberto de', 1577–1656",,,,,,Italian,
Book Chapter,"Aranha, Paolo",2008,La formazione del giovane Roberto Nobili,"Sanfilippo, Matteo|Prezzolini, Carlo","Roberto De Nobili (1577–1656) missionario gesuita poliziano: Atti del convegno, Montepulciano, 20 ottobre 2007",Perugia,Guerra,,,31–44,,,,9788855701785|8855701789,,,http://worldcat.org/oclc/316828407,,,16th century|17th century,Biography|Foreign Missions,Asia -- India,"Nobili, Roberto de', 1577–1656",,,,,,Italian,
Book Chapter,"Aranha, Paolo",2014,The Social and Physical Spaces of the Malabar Rites Controversy,"Marcocci, Giuseppe|Boer, Wietse de|Maldavsky, Aliocha|Pavan, Ilaria",Space and Conversion in Global Perspective,Leiden,Brill,,,214–232,9,,,9789004280632|9004280634,10.1163/9789004280632_011,,,http://booksandjournals.brillonline.com/content/books/b9789004280632_011,,17th century|18th century,Controversies -- Chinese Rites|Foreign Missions -- History -- Regional -- Social History,Asia -- India -- Malabar,,,,,,,English,
Book Chapter,"Arcilla, José S.",2008,Saturnino Urios (1843–1916): Humanize to Christianize,,Sueldo and Bayad: Essays on Philippine Lifestyle,"Quezon City, Philippines",Ateneo de Manila University Press,,,,,,,9789715505727|9715505724,,,http://worldcat.org/oclc/299151357,,,19th century|20th century,Foreign Missions -- Evangelization -- Strategies,Asia -- Philippines,"Urios, Saturnino, 1843–1916",,,,,,English,
Book Chapter,"Arcilla, José S.",2008,Jesuit Perceptions of Philippine Indigenous Culture in the Nineteenth Century,,Sueldo and Bayad: Essays on Philippine Lifestyle,"Quezon City, Philippines",Ateneo de Manila University Press,,,,,,,9789715505727|9715505724,,,http://worldcat.org/oclc/299151357,,,19th century,Foreign Missions -- Intercultural Dialogue|Foreign Missions -- Ethnography|Foreign Missions -- History -- Regional,Asia -- Philippines,,,,,,,English,
Book Chapter,"Arcilla, José S.",2008,"Francisco Javier Martin Luengo, S.J. and Two Wheels for Surigao",,Sueldo and Bayad: Essays on Philippine Lifestyle,"Quezon City, Philippines",Ateneo de Manila University Press,,,,,,,9789715505727|9715505724,,,http://worldcat.org/oclc/299151357,,,19th century,Foreign Missions -- Biography|Foreign Missions -- History -- Local,Asia -- Philippines,"Martín Luengo, Francisco Javier, 1833–1888",,,,,,English,
Book Chapter,"Aregay, Merid W.",2007,El conocimiento de Pedro Páez de la teología de la Iglesia Ortodoxa etíope,"Aregay, Merid W.",Conmemoración del IV centenario de la llegada del sacerdote españo Pedro Páez a Etiopia: actas del seminario internacional celebrado en Addis Abeba del 9 al 11 de diciembre de 2003,Madrid,Agencia Española de Cooperación Internacional,,,69–91,,,,848347025X|9788483470251,,,,http://dialnet.unirioja.es/servlet/libro?codigo=437458,,16th century|17th century,Foreign Missions -- Ethnography|Foreign Missions -- History -- Regional|Foreign Missions -- Church History,Africa -- Ethiopia,"Páez, Pedro, 1564–1622",,,,,,Spanish,
Book Chapter,"Arellano, Ignacio",2007,"San Francisco Javier y 'Las glorias del mejor siglo,' comedia jesuítica del P. Céspedes","Arellano, Ignacio|González Acosta, Alejandro|Herrera, Arnulfo",San Francisco Javier entre dos continentes,Pamplona; Madrid; Frankfurt am Main,Universidad de Navarra; Iberoamericana; Vervuert,,,11–33,,,,9788484892908|8484892905|9783865273246|3865273246,,,http://worldcat.org/oclc/166281387,,,17th century,Arts -- Theater -- Comedy|Saints and Blessed,Europe,"Francis Xavier, Saint, 1506–1552|Céspedes, Valentín de, 1595–1668",,,,,,Spanish,
Book Chapter,"Arellano, Ignaciano",2007,La risa en los comedias jesuíticas sobre San Francisco Javier,,São Francisco Xavier: Nos 500 anos do nascimento de São Francisco Xavier; Da Europa para o mundo 1506–2006,Porto,Centro Interuniversitário de História da Espiritualidade,,,7–26,,,,9789729967016|9729967016,,,,http://ler.letras.up.pt/uploads/ficheiros/4317.pdf,,16th century|17th century,Arts -- Theater -- Comedy|Saints and Blessed,,"Francis Xavier, Saint, 1506–1552",,,,,,Portuguese,
Book Chapter,"Arellano, Ignacio",2008,Diálogos javerianos de la Real Academia de la Historia de Madrid (IV): El Japón a la China,"Cazal, Françoise",Homenaje a Francis Cerdan/Hommage à Francis Cerdan,Toulouse,Université de Toulouse-Le Mirail,,,25–48,,,,2912025362|9782912025364,,,http://worldcat.org/oclc/245532579,,,16th century|17th century|18th century|19th century|20th century,Literature|Arts -- Theater -- Comedy|Saints and Blessed,Europe -- Spain -- Madrid -- Real Academia de la História|Asia -- Japan|Asia -- China,"Francis Xavier, Saint, 1506–1552",,,,,,Spanish,
Book Chapter,"Arellano, Ignacio",2012,Theatrical Elements in Baroque Festivals (the Jesuit Celebrations in the Golden Age),Ignacio Arellano|Carlos Mata Induráin,St Francis Xavier and the Jesuit Missionary Enterprise. Assimilations between Cultures / San Francisco Javier y la empresa misionera jesuita. Asimilaciones entre culturas,Pamplona,Servicio de Publicaciones de la Universidad de Navarra,,,47–56,,,,978-84-8081-338-9,,,,http://www.unav.edu/publicacion/sfj-navarro-universal/publicacion,,17th century,Arts -- Theater -- Festivals,,,,,,,,English,
Book Chapter,"Arend, Stefanie",2006,'Nec Lapis esse volo'—'Und kein Stein will ich sein': Zum antistoischen Affekt in der Lyrik Jacob Baldes,"Burkard, Thorsten",Jacob Balde im kulturellen Kontext seiner Epoche: Zur 400. Wiederkehr seines Geburtstages,Regensburg,Schnell und Steiner,,,153–165,,,,3795418127|9783795418120,,,,http://www.schnell-und-steiner.de/artikel_4956.ahtml,,17th century,Literature -- Poetry|Philosophy -- Ethics|Literature -- Literary Criticism,Europe -- Germany,"Balde, Jakob, 1604–1668",,,,,,German,
Book Chapter,"Arenz, Karl Heinz",2012,'Fils de Dieu et Fils des Pères': L'évangélisation dans les missions jésuites en Amazonie portugaise au XVIIe siècle,Hugues Didier|Madalena Larcher,Pédagogies missionnaires. Traduire transmettre transculturer: 32e colloque du CREDIC Lisbonne 30 août-3 septembre 2011,Paris,Karthala,,,161–171,,,,9782811107765|2811107762,,,http://www.worldcat.org/oclc/809409599,,,17th century,Foreign Missions -- Pedagogy,South America -- Brazil,,,,,,,French,
Book Chapter,"Arias de Saavedra, Inmaculada",2012,Lecturas de los hermanos del colegio jesuita de San Pablo de Granada (1767),José Martínez Millán|Henar Pizarro Llorente|Esther Jiménez Pablo,"Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,1,3,527–555,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/820121652,,,18th century,Institute -- Lay Brothers|Education -- Colleges,Europe -- Spain -- Granada,,,,,,,Spanish,
Book Chapter,"Ariew, Roger",2011,Descartes and the Jesuits of La Flèche: The Eucharist,,Descartes among the Scholastics,Leiden; Boston,Brill,,,140–154,7,,,9789004207240|9004207244,10.1163/ej.9789004207240.i-358.51,,,http://booksandjournals.brillonline.com/content/books/10.1163/ej.9789004207240.i-358.51,,17th century,Theology -- Controversies -- Eucharist,Europe -- France,,,,,,,English,
Book Chapter,"Armogathe, Jean-Robert",2014,La réception et l'influence de la pensée de Hans Urs von Balthasar en France,"Henrici, Peter|Scola, Angelo",Eine Theologie für das 21. Jahrhundert: Zur Wirkungsgeschichte Hans Urs von Balthasars,Freiburg im Breisgau,Johannes Verlag,,,144–49,,,,9783894114251|3894114258,,,http://worldcat.org/oclc/907670287,,,20th century,Theology -- Biography|Theology -- History,,"von Balthasar, Hans Urs, 1905–1988",,,,,,French,
Book Chapter,"Armstrong, Patrick",2007,"Teilhard de Chardin, Pierre (1881–1955)",,All Things Darwin: An Encyclopedia of Darwin's World,"Westport, CT",Greenwood,2,,,,,,9780313334924|0313334927|9780313334931|0313334935|9780313334948|0313334943,,,http://worldcat.org/oclc/145943704,,,19th century|20th century,Biography|Sciences -- Evolutionism|Sciences -- Paleontology,,"Teilhard de Chardin, Pierre, 1881–1955","Nearly 200 years after his birth in 1809, and nearly 150 years after the publication of his groundbreaking book The Origin of Species, Charles Darwin remains a controversial figure in science and society. But how much does today's student really know about Darwin and his times? This A-to-Z reference work provides user with an understanding of the intellectual, social, and material world in which Darwin lived. This culture profoundly influenced Darwin's work in biology and geology, in general, and his theory of natural selection, in particular. Understanding this period and Darwin's life and times is essential for understanding the development of evolution and biology. In essence, this encyclopedia will cover everything that made Darwin one of the most influential figures of the last 150 years. - Publisher.",,,,,English,
Book Chapter,"Arokiasamy, Soosai",2007,Development of Theological Language in the Context of Encounter with Cultures and Religions,"Arun, C. Joe",Interculturation of Religion: Critical Perspectives on Robert de Nobili's Mission in India,Bangalore,Asian Trading Corporation,,,53–67,,,,8170864380|9788170864387,,,http://worldcat.org/oclc/181599178,,,16th century|17th century,Foreign Missions -- Inculturation|Foreign Missions -- Interreligious Dialogue|Foreign Missions -- Intercultural Dialogue,Asia -- India,"Nobili, Roberto de', 1577–1656",,"Paper presented at a seminar on ""Dialectic of religion and culture: De Nobili's critic of Hindu nationalism"", organized by De Nobili Research Centre of Loyola College, Madras, India in Aug. 2005; festschrift on 400th anniversary of Roberto de Nobili's mission to Madhurai, India.",,,,English,
Book Chapter,"Arokiasamy, Soosai",2007,De' Nobili: Lessons from a Pioneering Missionary,"Puthiadam, Ignatius","Fr. De Nobili, a Trendsetter: Life, Work and Spirituality",Bangalore,Asian Trading Corporation,,,,,,,817086416X|9788170864165,,,http://worldcat.org/oclc/217145675,,,16th century|17th century,Foreign Missions -- Identity|Foreign Missions -- Biography,Asia -- India,"Nobili, Roberto de', 1577–1656",,,,,,English,
Book Chapter,"Arranz, Miguel",2007,Contactos con la Iglesia Orthodoxa rusa,"La Bella, Gianni","Pedro Arrupe, general de la Compañía de Jesús: Nuevas aportaciones a su biografía",Bilbao; Santander,Mensajero; Sal Terrae,,,621–634,,,,8427128320|9788427128323|9788429316896|8429316892,,,http://worldcat.org/oclc/122935570,,,20th century,Generals -- Pedro Arrupe|Interreligious Dialogue|Theology -- Ecumenism|Orthodox Church,Europe -- Russia,"Arrupe, Pedro, 1907–1991",,,,,,Spanish,
Book Chapter,"Arranz Roa, Íñigo",2012,"Educar a rudos y pobres: La Casa de los Niños del Amor de Dios (Valladolid, 1595–1860)",José Martínez Millán|Henar Pizarro Llorente|Esther Jiménez Pablo,"Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,1,3,491–526,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/820121652,,,16th century|17th century|18th century|19th century,Education -- Children,Europe -- Spain -- Valladolid,,,,,,,Spanish,
Book Chapter,"Arun, C. Joe",2007,Revisiting de Nobili's Mission to Tamil Nadu,"Arun, C. Joe",Interculturation of Religion: Critical Perspectives on Robert de Nobili's Mission in India,Bangalore,Asian Trading Corporation,,,1–18,,,,8170864380|9788170864387,,,http://worldcat.org/oclc/181599178,,,16th century|17th century,Foreign Missions -- History -- Local|Foreign Missions -- Evangelization -- Strategies,Asia -- India -- Tamil Nadu,"Nobili, Roberto de', 1577–1656",,"Paper presented at a seminar on ""Dialectic of religion and culture: De Nobili's critic of Hindu nationalism"", organized by De Nobili Research Centre of Loyola College, Madras, India in Aug. 2005; festschrift on 400th anniversary of Roberto de Nobili's mission to Madhurai, India.",,,,English,
Book Chapter,"Arun, C. Joe",2007,Religion as Culture: Anthropological Critique of de Nobili's Approach to Religion and Culture,"Arun, C. Joe",Interculturation of Religion: Critical Perspectives on Robert de Nobili's Mission in India,Bangalore,Asian Trading Corporation,,,19–41,,,,8170864380|9788170864387,,,http://worldcat.org/oclc/181599178,,,16th century|17th century,Theology -- Inculturation|Foreign Missions -- Evangelization -- Strategies|Controversies -- Inculturation,Asia -- India,"Nobili, Roberto de', 1577–1656",,"Paper presented at a seminar on ""Dialectic of religion and culture: De Nobili's critic of Hindu nationalism"", organized by De Nobili Research Centre of Loyola College, Madras, India in Aug. 2005; festschrift on 400th anniversary of Roberto de Nobili's mission to Madhurai, India.",,,,English,
Book Chapter,"Arun, C. Joe",2007,Conclusions: The Future of Mission in India,"Arun, C. Joe",Interculturation of Religion: Critical Perspectives on Robert de Nobili's Mission in India,Bangalore,Asian Trading Corporation,,,219–232,,,,8170864380|9788170864387,,,http://worldcat.org/oclc/181599178,,,21st century,Foreign Missions -- Identity,Asia -- India,"Nobili, Roberto de', 1577–1656",,"Paper presented at a seminar on ""Dialectic of religion and culture: De Nobili's critic of Hindu nationalism"", organized by De Nobili Research Centre of Loyola College, Madras, India in Aug. 2005; festschrift on 400th anniversary of Roberto de Nobili's mission to Madhurai, India.",,,,English,
Book Chapter,"Aschenbrenner, George",2000,"Response to Howard Gray, S.J.","Duminoco, Vincent J.",The Jesuit Ratio studiorum: 400th Anniversary Perspectives,New York,Fordham University Press,,,22–27,,,,082322046X|9780823220465|0823220478|9780823220472,,,http://worldcat.org/oclc/43954062,,,16th century,Ignatius of Loyola -- Historiography -- Biography|Ignatius of Loyola -- Spirituality -- Spiritual Exercises,Europe -- Spain,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,
Book Chapter,"Ashford, Bruce Riley",2012,"De Nobili, Robert (1577–1656)",George Thomas Kurian,The Encyclopedia of Christian Civilization,"Malden, MA",Blackwell Publishing,,,,,,,9780470670606,10.1002/9780470670606.wbecc0399,,,http://onlinelibrary.wiley.com/doi/10.1002/9780470670606.wbecc0399/abstract;jsessionid=659496150FBB843A16B44441BE18ED2E.f02t04,,16th century|17th century,Foreign Missions -- Accommodation|Biography,Asia -- India,"Nobili, Roberto de', 1577–1656","An Italian Jesuit missionary to Southern India, Nobili is known for his creative methods of evangelism among the upper castes in Madurai. He arrived in India in 1605 and soon made his way to Madurai, which is the center of Tamil culture. At the time of Nobili's arrival, Madurai already had a mission, under the oversight of Father Fernandez, a Portuguese Jesuit. Nobili discovered that Fernandez's mission was hindered by two cultural barriers: the great divide between East and West, and the cultural chasm separating the high castes from the low castes.",,,,,English,
Book Chapter,"Ashley, J. Matthew",2006,Contemplation in the Action of Justice: Ignacio Ellacuría and Ignatian Spirituality,"Burke, Kevin F.|Lassalle-Klein, Robert",Love that Produces Hope: The Thought of Ignacio Ellacuría,"Collegeville, MN",Liturgical,,,144–167,,,,0814652174|9780814652176,,,http://worldcat.org/oclc/56510720,,,20th century,Ignatius of Loyola -- Spirituality|Identity -- Social Justice|Theology -- Liberation,,"Ellacuría, Ignacio, 1930–1989",,,,,,English,
Book Chapter,"Ashley, J. Matthew",2008,The Mystery of God and Compassion for the Poor: The Spiritual Basis of Theology,"Pope, Stephen J.",Hope and Solidarity: Jon Sobrino’s Challenge to Christian Theology,"Maryknoll, NY",Orbis,,,,5,,,9781570757655|1570757658,,,http://worldcat.org/oclc/190860050,,,20th century|21st century,Theology -- Spirituality|Theology -- Liberation,,"Sobrino, Jon, 1938–",,,,,,English,
Book Chapter,"Ashley, J. Matthew",2014,"Memory, Mysticism, and Testimony","Bingemer, Maria Clara|Casarella, Peter","Witnessing: Prophecy, Politics, and Wisdom","Maryknoll, NY",Orbis Books,,,130–43,,,,9781626980877|162698087X,,,http://worldcat.org/oclc/879582933,,,21st century,Theology -- Liberation|Spirituality -- Prayer|Political Thought,,"Sobrino, Jon, 1938–|Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,
Book Chapter,"Astorgano Abajo, Antonio",2012,El mito de la perfección clásica en Vicente Requeno (1743–1811) y su fracaso en España (el encausto),José Martínez Millán|Henar Pizarro Llorente|Esther Jiménez Pablo,"Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,2,3,863–924,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/820121652,,,18th century,Literature -- Classical Tradition,Europe -- Spain,"Requeno y Vives, Vicente, 1743–1811",,,,,,Spanish,
Book Chapter,"Asúa, Miguel de",2014,Jesuit Science in the Missions of Paraguay and Río de la Plata,"Silva, Ignacio Alberto",Latin American Perspectives on Science and Religion,London,Pickering and Chatto,,,71–84,,,,9781848934993|1848934998,,,http://worldcat.org/oclc/870980843,,,16th century|17th century|18th century,Foreign Missions -- Sciences -- Astronomy|Foreign Missions -- Sciences -- Medicine,South America -- Paraguay -- Gran Chaco|South America -- Uruguay -- Río de la Plata|South America -- Argentina -- Río de la Plata,"Acosta, José de, 1540–1600|Suárez, Francisco, 1548–1617",,,,,,English,
Book Chapter,"Ataman, Kemal",2008,Inclusivism: Karl Rahner,,"Understanding Other Religions: Al-Biruni's and Gadamer's ""Fusion of Horizons""","Washington, DC",Council for Research in Values and Philosophy,,,,,,,9781565182523|1565182529,,,http://worldcat.org/oclc/228676724,,,20th century,Theology -- Interreligious Dialogue|Theology -- Method|Philosophy -- Hermeneutics,,"Rahner, Karl, 1904–1984",,,,,,English,
Book Chapter,"Avarello, Vito",2011,Per un’estetica dell’incontro: Lingua e stile nel corpus italiano di Matteo Ricci,Filippo Mignini,"Humanitas. Attualità di Matteo Ricci. Testi, fortuna, interpretazioni",Macerata,Quodlibet,,,149–174,,,,9788874624126|8874624123,,,http://www.worldcat.org/oclc/776486909,,,16th century|17th century,Foreign Missions -- Writers|Literature -- Criticism,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,Italian,
Book Chapter,"Avon, Dominique",2014,L’aventure sémiologique des biblistes français et la Compagnie de Jésus,"Fouilloux, Étienne|Gugelot, Frédéric",Jésuites français et sciences humaines (années 1960),Lyon,"Équipe Religions, sociétés et acculturation",,,,3,,,9791091592079,,,http://worldcat.org/oclc/915328104,,,20th century,Semiotics|Theology -- Scripture -- Exegesis,Europe -- France,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,French,
Book Chapter,"Aymoré, Fernando Amado",2011,Jesuiten aus Bayern in Brasilien im 17. und 18. Jahrhundert: Pater Jodocus Perret und sein Missionsregelwerk für Amazonien (1686),Peter Claus Hartmann|Alois Schmid,Bayern in Lateinamerika: Transatlantische Verbindungen und interkultureller Austausch,Munich,Beck,,,117–134,,,,3406107230|9783406107238,,,http://www.worldcat.org/oclc/778268856,,,17th century|18th century,Foreign Missions -- Personnel,Europe -- Germany -- Bavaria|South America -- Brazil,"Perret, Jodocus, 1633–1707",,,,,,German,
Book Chapter,"Baatz, Ursula",2017,Hugo M. Enomiya-Lassalle: Zen-Enlightenment and Christianity,"Maryks, Robert Aleksander",A Companion to Jesuit Mysticism,Leiden; Boston,Brill,,,,13,,,9789004310131,,,www.worldcat.org/oclc/96255338,http://www.brill.com/products/book/companion-jesuit-mysticism,,20th century,Foreign Missions -- Biography|Foreign Missions -- Spirituality -- Meditation|Buddhism|Foreign Missions -- Inculturation,Europe -- Germany,"Enomiya–Lassalle, Hugo Makibi, 1898–1990",,,,,,English,
Book Chapter,"Babcock, Matthew",2009,"Rethinking the Establecimientos: Why the Apaches Settled on Spanish-Run Reservations, 1786–1793","Bernabéu Albert, Salvador","El gran norte mexicano: Indios, misioneros y pobladores entre el mito y la historia",Seville,Consejo Superior de Investigaciones Científicas,,,95–136,,,,9788400088460|8400088468,,,http://worldcat.org/oclc/464747893,,,18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Native Americans,North America -- Mexico|North America -- USA,,,,,,,English,
Book Chapter,"Bac, J. Martin",2010,Jesuit Counter-Reformation: Conditionalizing Divine Knowledge,,"Perfect Will Theology: Divine Agency in Reformed Scholasticism as against Suarez, Escopius, Descartes, and Spinoza",Leiden,Brill,,,71–156,3,,,9789004182905|900418290X|9789004193444,10.1163/ej.9789004182905.i-561.20,,http://worldcat.org/oclc/52875263,http://booksandjournals.brillonline.com/content/books/10.1163/ej.9789004182905.i-561.20,,16th century|17th century,Theology -- Scholasticism|Theology -- Soteriology|Theology -- Dogmatic,,"Suárez, Francisco, 1548–1617",,,,,,English,
Book Chapter,"Bachelot, Jean-Paul",2011,De la place de l’anecdote dans l’écriture missionnaire du XVIe siècle: Le modèle de saint François Xavier,Guy Poirer|Marie-Christine Gomez-Geraud|François Paré,De l'Orient à la Huronie. Du récit de pèlerinage au texte missionnaire,Québec,Presses de l'Université Laval,,,251–265,,,,9782763789439 |2763789439,,,http://www.worldcat.org/oclc/759075421,,,16th century,Foreign Missions -- Sources|Biography,Asia,"Francis Xavier, Saint, 1506–1552",,,,,,French,
Book Chapter,"Bai, Limin",2014,The Jesuit Educational Tradition and the Promotion of Scientific Knowledge in Early 20th-Century China: Li Wenyu and Xixue guanjian,Macau Ricci Institute,Education for New Times: Revisiting Pedagogical Models in the Jesuit Tradition,Macau,Macau Ricci Institute,,,155–180,,,,9789993794783,,,www.worldcat.org/oclc/884142940,,,19th century|20th century,Foreign Missions -- Education -- Colleges|Foreign Missions -- Science,Asia -- China,"Li, Wenyu, 1840–1911",,,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2005,"The Jesuits in North America and Their Legacy in Art and Architecture, 1611–1814","O'Malley, John W.|Bailey, Gauvin Alexander|Sale, Giovanni",The Jesuits and the Arts 1540–1773,Philadelphia,Saint Joseph's University Press,,,,,,,9780916101527|0916101525,,,http://worldcat.org/oclc/60824183,,,17th century|18th century|19th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- Arts -- Art History,North America,,"The Jesuits and the Arts, 1540–1773 is the first survey ever published of the Jesuits' global artistic enterprise in Europe, Asia, and the Americas, from the foundation of the Society of Jesus in 1540 to its suppression in 1773. Here the Jesuits' extraordinary commitment to the arts—the subject of a groundswell of recent scholarly work—comes spectacularly alive, with 476 full color, high resolution images of Jesuit buildings, paintings, sculpture, theatrical sets, and music from around the globe, many of them published here for the first time. No other book dealing with this aspect of the Jesuits' activities is as comprehensive or as profusely illustrated. Authors of the twelve essays are leading specialists from Italy, Germany, Austria, France, Spain, Argentina, and the United States; some of them are published here in English for the first time.",,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2005,Jesuit Art and Architecture in Asia,"O'Malley, John W.|Bailey, Gauvin Alexander|Sale, Giovanni",The Jesuits and the Arts 1540–1773,Philadelphia,Saint Joseph's University Press,,,,,,,9780916101527|0916101525,,,http://worldcat.org/oclc/60824183,,,16th century|17th century|18th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- Arts -- Art History,Asia,,"The Jesuits and the Arts, 1540–1773 is the first survey ever published of the Jesuits' global artistic enterprise in Europe, Asia, and the Americas, from the foundation of the Society of Jesus in 1540 to its suppression in 1773. Here the Jesuits' extraordinary commitment to the arts—the subject of a groundswell of recent scholarly work—comes spectacularly alive, with 476 full color, high resolution images of Jesuit buildings, paintings, sculpture, theatrical sets, and music from around the globe, many of them published here for the first time. No other book dealing with this aspect of the Jesuits' activities is as comprehensive or as profusely illustrated. Authors of the twelve essays are leading specialists from Italy, Germany, Austria, France, Spain, Argentina, and the United States; some of them are published here in English for the first time.",,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2005,"Italian Renaissance and Baroque Painting Under the Jesuits and Its Legacy Throughout Catholic Europe, 1565–1773","O'Malley, John W.|Bailey, Gauvin Alexander|Sale, Giovanni",The Jesuits and the Arts 1540–1773,Philadelphia,Saint Joseph's University Press,,,,,,,9780916101527|0916101525,,,http://worldcat.org/oclc/60824183,,,16th century|17th century|18th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- Arts -- Art History|Foreign Missions -- History -- Regional,Europe -- Italy,,"The Jesuits and the Arts, 1540–1773 is the first survey ever published of the Jesuits' global artistic enterprise in Europe, Asia, and the Americas, from the foundation of the Society of Jesus in 1540 to its suppression in 1773. Here the Jesuits' extraordinary commitment to the arts—the subject of a groundswell of recent scholarly work—comes spectacularly alive, with 476 full color, high resolution images of Jesuit buildings, paintings, sculpture, theatrical sets, and music from around the globe, many of them published here for the first time. No other book dealing with this aspect of the Jesuits' activities is as comprehensive or as profusely illustrated. Authors of the twelve essays are leading specialists from Italy, Germany, Austria, France, Spain, Argentina, and the United States; some of them are published here in English for the first time.",,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2006,Cultural Convergence at the Ends of the Earth: The Unique Art and Architecture of the Jesuit Missions to the Chiloé Archipelago (1608–1767),"O'Malley, John W.|Bailey, Gauvin Alexander|Harris, Steven J.|Kennedy, T. Frank","The Jesuits II: Cultures, Sciences, and the Arts, 1540–1773",Toronto,University of Toronto Press,,,211–239,,,,9780802038616|0802038611,,,http://worldcat.org/oclc/367474071,,,17th century|18th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- Arts -- Art History|Foreign Missions -- Intercultural Dialogue|Foreign Missions -- History -- Local,South America -- Chile -- Chiloé,,,Essay originally presented as papers at a conference held in 2002.,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2008,Jesuit Architecture in Colonial Latin America,"Worcester, Thomas",The Cambridge Companion to the Jesuits,"Cambridge, UK",Cambridge University Press,,,217–242,13,,,9781139001885|1139001884,10.1017/CCOL9780521857314.014,,,http://universitypublishingonline.org/cambridge/companions/chapter.jsf?bid=CBO9781139001885&cid=CBO9781139001885A021,,16th century|17th century|18th century,Foreign Missions -- Arts -- Architecture|Foreign Missions -- History -- Regional -- Colonialism,South America|North America,,"Few architectural traditions were as deeply affected by the Society of Jesus as those of colonial Latin America, particularly South America between the late sixteenth and late eighteenth centuries. Whereas the Jesuits made a profound impact on the architecture of other parts of the world - notably Baroque Italy, central Europe, and Flanders - Jesuit monuments played a paradigmatic role in certain regions of Latin America, frequently inspiring trends that would prevail for decades thanks to structural, stylistic, and decorative innovations. Such were the cuzqueño Baroque, a bold and unique variant of Baroque architecture that arose phoenix-like from the rubble of the 1650 Cuzco earthquake, and the so-called “Mestizo Style,” an extraordinarily creative movement in architectural sculpture that spread rapidly through the southern Andes between the 1660s and the 1820s. In other regions, such as modern-day Paraguay, parts of Argentina, and lowland Bolivia, the Jesuits so dominated the built environment that Jesuit architecture and regional architecture were one and the same. Despite this profound architectural legacy in colonial Latin America, the Jesuits did not promote any single style. In fact, the buildings they constructed from Baja California to Chilean Patagonia were noteworthy for their lack of stylistic unity, the result both of their policy of adaptation to regional and indigenous forms and the unusually international background of Jesuit architects and designers.",,,,,English,
Book Chapter,"Bailey, Gauvin Alexander",2011,La contribución jesuita al barroco andino híbrido,Guillermo Wilde,Saberes de la conversión: Jesuitas indígenas e imperios coloniales en las fronteras de la cristiandad,Buenos Aires,Editorial SB,,,275–292,,,,9789871256938|9871256930,,,http://www.worldcat.org/oclc/819532570,,,16th century|17th century|18th century,Foreign Missions -- Arts,South America,,,,,,,Spanish,
Book Chapter,"Bajada, Frank",2007,"The Sacraments as Symbols: Their Constitutive, Communicative and Redemptive Role in The Church’s Mission According to Bernard Lonergan","Scerri, Hector","Living Theology: Studies on Karl Rahner, Yves Congar, Bernard Lonergan and Hans Urs von Balthasar",Vatican City,Libreria editrice vaticana,,,259–282,,,,8820978474|9788820978471,,,http://worldcat.org/oclc/261226170,,,20th century,Theology -- Sacraments|Theology -- Ecclesiology,,"Lonergan, Bernard J. F., 1904–1984",,,,,,English,
